,sub_label,template,obj_label,masked_sentence,filled_sentence,Parrot_paraphrased_filled_sentence,Parrot_paraphrased_filled_sentence_0
288,Bartolomeo Ammannati,[X] died in [Y] .,Florence,"Bartolomeo Ammannati (18 June 1511 – 13 April 1592) was an Italian architect and sculptor, born at Settignano, near [MASK].","Bartolomeo Ammannati (18 June 1511 – 13 April 1592) was an Italian architect and sculptor, born at Settignano, near Florence.","['Bartolomeo Ammannati (18 June 1511 – 13 April 1592) was an Italian architect and sculptor, born at Settignano, near Florence.']","['Bartolomeo Ammannati (18 June 1511 – 13 April 1592) was an Italian architect and sculptor, born at Settignano, near Florence.']"
289,Kalyan Kumar,[X] died in [Y] .,Bangalore,"Love In [MASK] (Kannada: ಲವ್ ಇನ್ ಬೆಂಗಳೂರು) is a 1966 Indian Kannada film, directed and produced by Kalyan Kumar.","Love In Bangalore (Kannada: ಲವ್ ಇನ್ ಬೆಂಗಳೂರು) is a 1966 Indian Kannada film, directed and produced by Kalyan Kumar.","['love in bangalore kannada is a 1966 indian kannada film produced and directed by kalyan kumar', 'love in bangalore kannada is a 1966 indian kannada film directed and produced by kalyan kumar']","['love in bangalore kannada is a 1966 indian kannada film produced and directed by kalyan kumar', 'love in bangalore kannada is a 1966 indian kannada film directed and produced by kalyan kumar']"
290,Charlie Conacher,[X] died in [Y] .,Toronto,"Calgary's Jim Peplinski was named the final recipient of the award in 1984, after which the trophy was retired and put on display at the newly constructed Charlie Conacher Research Centre for cancer at the [MASK] General Hospital.","Calgary's Jim Peplinski was named the final recipient of the award in 1984, after which the trophy was retired and put on display at the newly constructed Charlie Conacher Research Centre for cancer at the Toronto General Hospital.","['in 1984 jim peplinski of calgary was named the final recipient of the award the trophy was retired and displayed at the newly constructed charlie conacher cancer research centre at the toronto general hospital', 'jim peplinski of calgary was named the final recipient of the award in 1984 the trophy was retired and displayed at the newly constructed charlie conacher cancer research center at toronto general hospital', ""in 1984 calgary's jim peplinski was named the final recipient of the award which was retired and displayed at the newly constructed charlie conacher research centre for cancer in toronto general hospital""]","['in 1984 jim peplinski of calgary was named the final recipient of the award the trophy was retired and displayed at the newly constructed charlie conacher cancer research centre at the toronto general hospital', 'jim peplinski of calgary was named the final recipient of the award in 1984 the trophy was retired and displayed at the newly constructed charlie conacher cancer research center at toronto general hospital', ""in 1984 calgary's jim peplinski was named the final recipient of the award which was retired and displayed at the newly constructed charlie conacher research centre for cancer in toronto general hospital""]"
291,Antonio Palomino,[X] died in [Y] .,Madrid,He was born in [MASK] to Diego de León Leal (originally from the Principality of Catalonia) and Juana de Durán (according to Palomino).,He was born in Madrid to Diego de León Leal (originally from the Principality of Catalonia) and Juana de Durán (according to Palomino).,['He was born in Madrid to Diego de León Leal (originally from the Principality of Catalonia) and Juana de Durán (according to Palomino).'],['He was born in Madrid to Diego de León Leal (originally from the Principality of Catalonia) and Juana de Durán (according to Palomino).']
292,Shangguan Yunzhu,[X] died in [Y] .,Shanghai,"Born Wei Junluo, Shangguan Yunzhu fled to [MASK] when her hometown Jiangyin was attacked by the Japanese.","Born Wei Junluo, Shangguan Yunzhu fled to Shanghai when her hometown Jiangyin was attacked by the Japanese.","['wei junluo shangguan yunzhu fled to shanghai after her hometown jiangyin was attacked by japanese', 'wei junluo shangguan yunzhu fled to shanghai when her hometown jiangyin was attacked by japanese', 'wei junluo shangguan yunzhu fled to shanghai when her hometown jiangyin was attacked by the japanese']","['wei junluo shangguan yunzhu fled to shanghai after her hometown jiangyin was attacked by japanese', 'wei junluo shangguan yunzhu fled to shanghai when her hometown jiangyin was attacked by japanese', 'wei junluo shangguan yunzhu fled to shanghai when her hometown jiangyin was attacked by the japanese']"
293,Dziga Vertov,[X] died in [Y] .,Moscow,"Vertov's feature film, produced by the film studio VUFKU, presents urban life in the Soviet cities of Kiev, Kharkov, [MASK] and Odessa.","Vertov's feature film, produced by the film studio VUFKU, presents urban life in the Soviet cities of Kiev, Kharkov, Moscow and Odessa.",['the film produced by the film studio vufku - vertov presents the urban life of the soviet cities of kiev kharkov moscow and odessa'],['the film produced by the film studio vufku - vertov presents the urban life of the soviet cities of kiev kharkov moscow and odessa']
294,Alida Withoos,[X] died in [Y] .,Amsterdam,"Alida ""Alie"" Johanna van den Bos (18 January 1902, [MASK] – 16 July 2003, Amsterdam) was a Dutch gymnast who competed in the 1928 Summer Olympics.","Alida ""Alie"" Johanna van den Bos (18 January 1902, Amsterdam – 16 July 2003, Amsterdam) was a Dutch gymnast who competed in the 1928 Summer Olympics.","['Alida ""Alie"" Johanna van den Bos (18 January 1902, Amsterdam – 16 July 2003, Amsterdam) was a Dutch gymnast who competed in the 1928 Summer Olympics.']","['Alida ""Alie"" Johanna van den Bos (18 January 1902, Amsterdam – 16 July 2003, Amsterdam) was a Dutch gymnast who competed in the 1928 Summer Olympics.']"
295,Emil Hass Christensen,[X] died in [Y] .,Denmark,Hooray for the Blue Hussars ([MASK]: Hurra for de blå husarer) is a 1970 Danish comedy film directed by Annelise Reenberg and starring Emil Hass Christensen.,Hooray for the Blue Hussars (Denmark: Hurra for de blå husarer) is a 1970 Danish comedy film directed by Annelise Reenberg and starring Emil Hass Christensen.,['hooray for the blue hussars denmark hurra for de bl hussarer is a danish comedy film directed by annelise reenberg and starring emil hass christensen in 1970'],['hooray for the blue hussars denmark hurra for de bl hussarer is a danish comedy film directed by annelise reenberg and starring emil hass christensen in 1970']
296,Ulla Jacobsson,[X] died in [Y] .,Vienna,"Ulla Jacobsson (23 May 1929, Mölndal – 20 August 1982, [MASK], buried at the Wiener Zentralfriedhof) was a Swedish actress who is perhaps best known for playing the only female speaking role in the film Zulu.","Ulla Jacobsson (23 May 1929, Mölndal – 20 August 1982, Vienna, buried at the Wiener Zentralfriedhof) was a Swedish actress who is perhaps best known for playing the only female speaking role in the film Zulu.","['Ulla Jacobsson (23 May 1929, Mölndal – 20 August 1982, Vienna, buried at the Wiener Zentralfriedhof) was a Swedish actress who is perhaps best known for playing the only female speaking role in the film Zulu.']","['Ulla Jacobsson (23 May 1929, Mölndal – 20 August 1982, Vienna, buried at the Wiener Zentralfriedhof) was a Swedish actress who is perhaps best known for playing the only female speaking role in the film Zulu.']"
297,Mauricio Kagel,[X] died in [Y] .,Cologne,"She continued her studies in Berlin and [MASK] with Aloys Kontarsky, Mauricio Kagel and Karlheinz Stockhausen.","She continued her studies in Berlin and Cologne with Aloys Kontarsky, Mauricio Kagel and Karlheinz Stockhausen.","['she continued her study in berlin and cologne with aloys kontarsky mauricio kagel and karlheinz stockhausen', 'she continued her studies in berlin and cologne with aloys kontarsky mauricio kagel and karlheinz stockhausen']","['she continued her study in berlin and cologne with aloys kontarsky mauricio kagel and karlheinz stockhausen', 'she continued her studies in berlin and cologne with aloys kontarsky mauricio kagel and karlheinz stockhausen']"
298,Carl Friedrich von Ledebour,[X] died in [Y] .,Munich,"Carl Friedrich von Ledebour (8 July 1786, Stralsund – 4 July 1851, [MASK]; also Karl Friedrich von Ledebour) was a German-Estonian botanist.","Carl Friedrich von Ledebour (8 July 1786, Stralsund – 4 July 1851, Munich; also Karl Friedrich von Ledebour) was a German-Estonian botanist.","['Carl Friedrich von Ledebour (8 July 1786, Stralsund – 4 July 1851, Munich; also Karl Friedrich von Ledebour) was a German-Estonian botanist.']","['Carl Friedrich von Ledebour (8 July 1786, Stralsund – 4 July 1851, Munich; also Karl Friedrich von Ledebour) was a German-Estonian botanist.']"
299,George Murnu,[X] died in [Y] .,Bucharest,"George Murnu (Aromanian: Ioryi al Murnu; 1 January 1868, Veria, Salonica Vilayet, Ottoman Empire, now in Greece – 17 November 1957, [MASK]) was a Romanian university professor, archaeologist, historian, translator, and poet of Aromanian origin.","George Murnu (Aromanian: Ioryi al Murnu; 1 January 1868, Veria, Salonica Vilayet, Ottoman Empire, now in Greece – 17 November 1957, Bucharest) was a Romanian university professor, archaeologist, historian, translator, and poet of Aromanian origin.",,
300,John Pont,[X] died in [Y] .,Oxford,"The Cradle of Coaches is a nickname given to Miami University in [MASK] for producing star football coaches including Earl Blaik, Paul Brown, Woody Hayes, Bill Arnsparger, George Little, Weeb Ewbank, Sid Gillman, Ara Parseghian, Bo Schembechler, John Pont, Carmen Cozza, Bill Mallory, Jim Tressel, Joe Novak, Ron Zook, Dick Crum, Paul Dietzel, Bill Narduzzi, Randy Walker, John Harbaugh, Gary Moeller, Larry Smith, Dick Tomey, Sean Payton and Terry Hoeppner.","The Cradle of Coaches is a nickname given to Miami University in Oxford for producing star football coaches including Earl Blaik, Paul Brown, Woody Hayes, Bill Arnsparger, George Little, Weeb Ewbank, Sid Gillman, Ara Parseghian, Bo Schembechler, John Pont, Carmen Cozza, Bill Mallory, Jim Tressel, Joe Novak, Ron Zook, Dick Crum, Paul Dietzel, Bill Narduzzi, Randy Walker, John Harbaugh, Gary Moeller, Larry Smith, Dick Tomey, Sean Payton and Terry Hoeppner.","['the cradle of coaches is a nickname given to miami university oxford for producing stars like earl blaik paul brown woody hayes bill arnsparger george little weeb ewbank sid gillman ara parseghian bo schembechler', 'the cradle of coaches is a nickname given to miami university in oxford for producing star football coaches including earl blaik paul brown woody hayes bill arnsparger george little weeb ewbank sid lafayette ara parseghian bo schembe', 'the cradle of coaches is a nickname given to miami university in oxford for producing star football coaches including earl blaik paul brown woody hayes bill arnsparger george little weeb ewbank sid gillman ara parseghian bo schembech']","['the cradle of coaches is a nickname given to miami university oxford for producing stars like earl blaik paul brown woody hayes bill arnsparger george little weeb ewbank sid gillman ara parseghian bo schembechler', 'the cradle of coaches is a nickname given to miami university in oxford for producing star football coaches including earl blaik paul brown woody hayes bill arnsparger george little weeb ewbank sid lafayette ara parseghian bo schembe', 'the cradle of coaches is a nickname given to miami university in oxford for producing star football coaches including earl blaik paul brown woody hayes bill arnsparger george little weeb ewbank sid gillman ara parseghian bo schembech']"
